dept,date,interest,reviewText,helpcount,nothelpcount
Psychology,11/29/2005,Really into it,Very nice professor and makes her lectures interesting The tests are a little hard but the study guides do help Id take another class taught by her,0,0
Religion,11/01/2012,It's my life,If you want to meet a future Elder Holland take his class I learn something lifechanging almost every class I look forward to going to class He truly cares about his students and knows you by name the most amazing man TAKE HIM you will not regret it,0,0
Languages,01/06/2011,Really into it,A very nice professor the requirements are clear You will not have to study for exams if you read all the works I found this class to be a pleasure and a nice break from my science classes Highly recommended,0,0
Journalism,12/28/2004,It's my life,AWESOME teacher  very easy if you went to class Notes were clealy laid out in power point tests were easy if you actually looked at the questions throughly My TA Elliott Hillback was a stickler for the way papers were quotsupposedquot to be written but Mitchells a great prof  definetly recommend,0,0
Biology,11/15/2011,Low,I loved Dr Petersen Biology has always been one of my worst subjects but I found this class interesting and completely fair if not even a bit easy Hes a funny guy and Ive never had a boring day in his class,0,0
Chemistry,12/06/2012,It's my life,LOVE Dr Callam  Hes always willing to help  Maybe the class is hard but if you go to the help room once or twice a week youll get an A,0,0
Economics,11/12/2013,Really into it,People saying bad things dont know how to learn,0,1
Religion,12/30/2011,It's my life,Great professor He has great insight and great understanding of the Book of Mormon He makes it so that you really want to understand and read the Book of Mormon,0,0
English,04/22/2010,Really into it,It was a good class Chapman is funny and really tries to help students out At first the material and HW seemed quite intimidating but its not bad The tests are very thorough you cant fake it on them Memorizing facts isnt good enough you must be able to learn principles and apply them to tough ugly reallife examples,0,0
Biology,10/13/2014,Really into it,Haters are going to hate but he knows his stuff ,0,0
Mechanical Engineering,10/13/2012,Really into it,Class is hard he is super thorough He expects you to work for your grade and education You can go to him with questions but dont expect him to give you the answers He wants to see that youve tried to come up with answers and will work through problems with you He seems to be really young probably some child genius,0,0
Religion,11/10/2008,It's my life,Brother Johnson is amazing  I really enjoyed his lectures  His tests are based on what is written on the board during class which makes it easy to know what you will be tested on  He doesnt have hard test or trick questions like quotall of the abovequot  I love his class and he is a great teacher,0,0
Mathematics,04/05/2014,Meh,Bro Rich is legit Ive taken him for Math 100B and 101 He is so helpful I struggled with math for years and he helped me understand it  Im convinced hes the only good math teacher out there He does require work but to be in his class is a joy Hes funny and tells great stories I recumbent him to everyone,0,0
Political Science,01/27/2005,It's my life,One of the best organized lectures ive ever had  He relates the subjects to real life events well  He communicates all of the subject matter very clearly and makes it more interesting than it already is  there was a really big curve not that youd need it if you want to lecture though,0,0
Physics,01/11/2012,Low,Awesome professor Funny clear and very informative The tests are quite tricky but if you study and pay attention they arent that hard Make me a lot more interested in Physics now,0,0
Religion,11/30/2011,Really into it,Shes tough but good I always learned a ton in her classes Shes very strict but not mean There are quizzes online and daily participation points you have to enter Her tests were difficult but not impossible She knows a ton about the Old Testament and teaches things that are interesting and spiritually helpful I really liked her class,0,0
Biology,12/14/2013,Meh,Everything he tests on he covered in lecture the hard part is just studying  memorizing all the material Mohr is very intelligent  passionate about micb If you want an easy A you will be disappointed If you truly want to learn a lot be challenged  become knowledgeable about microbes and their real world application I highly recommend Mohr,0,1
Mathematics,12/20/2011,Really into it,Very nice guy seems to care about his students  Lectures are a little scattered but tests are very straight forward with few tricks  Homeworks are slightly more difficult but follow in class examples and you receive completion points,0,0
Mathematics,12/01/2011,Really into it,Very clear professor Explains concepts clearly and provides simple proofs While going to lecture isnt mandatory it is highly recommended and you will do better on the exams if you go My advice is just go to lecture and discussion do all the homework and review your notes and you will definitely get at least an AB in this class,0,0
Dance,07/08/2009,It's my life,I have wendy for advance jazz and she is amazing both with her technical ability and her choreography  The best part is she doesnt take any crap so we never waist time in class  If you want to learn how to be a great dancer take a class from her  FYI she doesnt teach 240 I dont know what the previous comment was about  Love Her,0,0
Religion,12/31/2007,Really into it,Would definitely recommend I learned so much about how to benefit from scripture study and at the same time learned a lot about the scriptures as he helped us give examples of things to look for as we read the text Not a hard class but a good one I looked forward to it,0,0
History,08/07/2007,Really into it,Rob is one of the best professor Ive ever had  Only person I know that can lecture for 2 hours with no visual aids and keep the whole class interested  He requires a ton of work but it will help you in the long run  Always willing to help students  Knows the subject and loves to teach it  Recommend him to anyone,0,0
Physics,07/18/2010,Low,Teaches very well and tries to reach out to all students,0,0
Languages,01/02/2009,It's my life,I loved this class  It was an easy class but you learn a lot as well  Sister Malm gives you everything you need to know that will be on the Tests and they are very easy,0,0
Business,04/04/2014,Sorta interested,Amazing teacher Has a burning passion for students succeeding and doing well His lecture notes are identical to exams The exams are hard but very doable,0,0
Finance,10/31/2007,Sorta interested,This class is really useful for what you will go through in life My only problem with it is that there are so many people in every section that it is hard for everyone to be on the same page in class and follow along I felt like I would have succeeded if Id had more individualized attention instead of getting lost in the crowd,0,0
Mechanical Engineering,02/10/2012,It's my life,Bro Baird is a fairly laidback teacher  He doesnt care if you pay attention in class  First half of the semester is teaching how to use the program on your laptop and the second half he just gives you a lot of time to work on projects  Only complaint was that he takes forever to grade assignments and give feedback  Very little in way of hw,0,0
Social Science,04/20/2006,Really into it,I really enjoyed his class It was very interesting material and he was a VERY entertaining professor I strongly recommend him,0,0
Science,12/03/2009,Sorta interested,I LOVE Brother Skinner If you read the textbook and go to class you will do well He makes geology interesting and understands that people taking that class arent geology majors so he tries to make it entertaining Quiz for every chapter a few out of class labs and three exams Bring him dinosaur cookies and hell love you Take his class,0,0
Mathematics,06/01/2009,Really into it,Very funny and very fascinating to listen to Ridiculously intelligent in the math field Did insane calculations in his head Only resorted to his laptop to write down the example problems he was going to do  Very hard class but doable Except the series part which was just hell Do a lot of the past exams to study and youll be fine,0,0
Chemistry,01/04/2007,It's my life,He teaches very clearly He makes sure that you know what to expect and know for a test Really helps you not just learn but master the concepts His practice sheets and weekly quotmircoexamsquot really help you prepare for the bigger exams Real fair and genuine professor It is a lot of work but he helps you to be able to accomplish it all,0,0
English,04/11/2007,Meh,If you are going to take a critical theory clas Muhlestein is the man to take it from He really knows his stuff and his tests are hard but extremely fair Plus hes funny and his class is extremely spiritual Before his class I didnt know what critical theory was and now I love it He is very qualified and his class isnt impossible to pass,0,0
English,07/23/2010,It's my life,Best class Ive had at BYUI Amazing teaching who will challenge your writing skills The only way you will do bad in this class is if you are lazy and dont follow his ilearn guides Easy 100 for the dedicated student I feel like a better research writer and thinker thanks to him,0,0
Biology,10/22/2013,It's my life,Christenson is quite possibly the coolest science teacher I have ever had  He is easy going and is always willing to explain things He loves the things he teaches and understands them thoroughly,0,0
Religion,09/18/2014,It's my life,Ok Brother Hopkin is one of the best religion professors at BYU This is the third class Ive taken from him Hes hilarious and really teaches you from both a spiritual and intellectual side He includes a bunch of personal stories and insights from Hebrew and other languages because hes brilliant He remembers your name and is super personable,0,1
Biology,12/10/2009,Low,Brother Holyoaks class isnt hard at all if you do your readings and study for his test from his study guide Hes an awesome teacher and makes sure everyone understands so just listen and youll get it Take science from him,0,0
Computer Science,07/25/2008,Really into it,Awesome Professor by far the best CSE professor at OSU along with Bettina I wish more professors would take a good look at Wayne and see his joy for helping students,0,0
Philosophy,12/19/2008,Meh,I loved Dr Arts I reccommend taking him later on in your college career when youre confident in your writing and discussion skills He is very interesting and encourages the students to really think rather than just parroting information He usually grades only on a few essays so you should be comfortable with writing,0,0
Psychology,03/31/2006,Sorta interested,Tests come straight from lecture nothing out of book Dont buy the book Someone told me that and I ignored them and bought it anyway What a waste of money cause I havent used it once He has the funniest sense of humor If you have to take psychology take it from him,0,0
Business,10/06/2005,Sorta interested,Tansky is awesome  She really does care about her students,0,0
Psychology,03/17/2008,Really into it,alison is a nice lady and the material she uses really hammers home the material she puts in her powerpoint slides the four papers are not extremely difficult and she is a very tame grader the multiple choice exams are somewhat difficult but if you prepare for the exams you will do fine overall id say she is one of the nicest teachers ive had,0,0
Mathematics,01/20/2007,Sorta interested,Very easy class practice test mirror actual tests essentially to the T some lectures are important because he touches on examples that are on the tests and explains the basics of what you need to know however some are useless such as the one on linear algebra,0,0
Italian,07/31/2009,It's my life,Professor Boynton is the best He has an amazing knowledge of the language and he is way chill You can joke with him he can joke with you I am a little biased because he was my mission president but nonetheless I love this man,0,0
English,07/12/2010,Low,Br Ward is a magnificent teacher you do have to put effort in to do well in his class but if you put in the effort it will show Br Ward cares more about you learning then the process of learning Prove to him that youve learned what is being discussed in class and he will give you credit for it  by Far my favorite teacher on campus,0,0
Religion,07/26/2014,Really into it,Amazing man Willing to take extra time just to talk and get to know you personally and hes always willing to answer questions and help If you can take a class from Hopkin at BYU He clearly outlines everything to study and theres no surprises on the tests,0,0
Political Science,11/30/2006,Sorta interested,This class as Smith says multiple times is hard to fail The lecture notes are on powerpoint on carmen Everything is easy but the tests do have an overwhelming amount of trivia or seemingly unnecessary questions so you do have to study for them Papers are graded easily though as long as you try,0,0
Biology,06/18/2013,Really into it,Brother Young really knows the material and he is willing to work with you and do all possible to help you be successful,0,0
Chemistry,08/20/2011,Sorta interested,Great prof for lab and lecture For lab lectures he would take a while on one topic and run out of time for the rest of the powerpoint but posts them online Always up for answering questions made clear the requirements for prelabs and lab and always stopped into our labs Entertaining guy too,0,0
Chemistry,06/06/2009,Sorta interested,Dr Callam is definitely one of Ohio States best He is certainly not easy but he is hands down the best at teaching the  material He puts in a huge amount of effort into making plenty of resources available to his students I would recommend Callam over ANY Ochem professor at OSU without hesitation Take him if you have a chance,0,0
Accounting,07/22/2008,Really into it,Ms Altamuro exemplifies the firstrate instruction techniques that radiate through Fisher Not only is she easy on the eyes but her heuristic teaching style evinces her natural intellectwhich effortlessly disseminates to her infatuated pupils Though the homework is a little long,0,0
Biology,11/13/2008,Low,participate in the class if you are going to take it Its 25 of your gradeawesome guy and has good stories He gives a lot of pop quizzes especially the first few weeks of class so know the material I didnt like biology before taking his class and as long as you study for the tests you will do great,0,0
Religion,12/11/2013,Sorta interested,Awesome professor His class was not that difficult He had weekly quizzes and a midterm and final Everything was open notes Theyre timed but I wouldnt worry about that I finished the quizzes and tests in about 10 and 30 minutes respectively Its more than enough time The negative comments about him are from lazy students Take his class,1,0
Statistics,04/17/2010,Sorta interested,He is extremely helpful if you ever need help he has an open door policy and is great at explaining things Lecture time was kind of worthless but hes entertaining at least,0,0
Biology,04/17/2007,Low,Absolutely the most passionate professor Ive had Hes extremely detailed and loves to bring his own research in to demonstrate what he teaches His writing assignments force you to learn how to find and read scientific literature I would recommend this class to anyone vaguely interested in biology,0,0
Chemistry,01/04/2012,Low,Although I found the a material difficult to understand I thought Dr Kroner was a great teacher He is genuinely interested in teaching and communicating the material He is willing to help anyone with questions and he was involved with the lab and recitations His exams are very hard but as long as you do decent the curve will boost you up,0,0
Religion,01/08/2013,Low,Brother Parker is extremely clear and easy to follow You have to read the BOM 30 minutes a day but all quiz questions are from the packet and all test questions are answered in class If you go to class and answer the packet questions you should have no problem getting an A Gets off topic sometimes but overall hes a good teacher,0,0
Materials Science,01/09/2011,Really into it,I thought his lectures were extremely helpful and he was very good at it Tests are long which means you dont have much time to think Fortunately the material isnt that difficult I recommend getting the reference book since most of the hw comes from it He does make smart remarks but they are meant to be kidding around,0,0
Accounting,06/20/2009,Low,Material is difficult but if you watch all of the lectures which is rough and do the practice problems it is possible to get an A Seriously study study is a must You CANNOT glide through this one but his online lectures are clear as day and very easy to understand The practice is up to you,0,0
Child & Family Studies,02/05/2009,Really into it,Topnotch in every way Very focused and professional and she really cares about her students  She changed the way I think about life and health,0,0
Physics,09/22/2010,It's my life,Great,0,0
English,12/07/2010,Really into it,Im so glad that I had Sister Johnson It was an Honors class but there was far less to do than in a regular class I felt challeneged and learned a lot but the class wasnt excessive and was focused on writing not just passing exams There is no final or midterm just papers and she is a pretty easy grader Lots of reading and books to buy,0,0
Spanish,03/19/2012,It's my life,She was really nice and helpful going over the stories with lots of detail and helping us prepare for the slrpe really well Nice way to get ahead in Spanish minormajor coursework for honors students because you can skip 250 Definitely worth taking for majorsminors,0,0
Science,04/26/2014,Really into it,Read the material study a few hours before each exam and allow time to do the project and this class is a easy B an A with some effort and studying DONT think the first exam will be easy Lowest class average on the first exam,2,0
Accounting,02/16/2005,Meh,All you babies shouldnt be in the accounting field if you cant get As on his test because they arent that hard  The purpose of these courses are to weed people out of the field Apparently there needs to be more weeding because there are too many babies in the accounting courses,0,0
Social Science,12/18/2005,Low,I wasnt expecting the heavy parenting emphasis but it was beneficial Lectures were excellent papers could be tough Some people loved the readings but I found them dry Interesting class but not my favorite However Dr Nelson is excellent,0,0
Geography,03/05/2007,Really into it,Prof Saldanha cares about students thinking Some students get put off by being made to actually think about issues and concepts I didnt I thought it was one of the best classes at the U and he puts himself out to help us see new issues and learn about geography He is funny too,0,0
Biology,11/26/2006,Sorta interested,Professor Kelson is a good teacher But you must go to class or you will not understand it He has online quizzes every week They are only 10 questions and pretty easy if you read the chapter If you do your work and go to class you should have no trouble passing He can be funny at times but has a lot of lecturing,0,0
English,10/28/2004,Really into it,The best professor I had at BYU  Brilliant and inspiring  Her classes are a lot of hard work but always worth it,0,0
Theater,12/11/2006,Sorta interested,Sister Freeman made the class FUN and provided a comfortable environment for our class She is very understanding and fair and has a relaxed teaching style She involves the class in her lessons and is not some boring teacher that just lectures on notes the entire class period like I said it was fun but we still learned a lot,0,0
Humanities,12/18/2012,Meh,Im not interested in Humanities at all but i enjoyed this class Dr Ancell is super approachable and willing to help you with whatever you need His TAs are very knowledgeable and helpful as well The workload is pretty tough and there is a lot of reading but it prepared you for the tests and helps you able to participate and understand lectures,0,1
Computer Science,10/28/2014,Really into it,Great class you actually learn to do something useful Lots of help with the projects no homework Open computer in class exams,0,0
Religion,05/25/2008,It's my life,I loved Brother Top  Hes a great teacher and loves what he teaches  His lectures arent really application oriented but he is a good teacher nonetheless and brings some interesting light to gospel subjects,0,0
Mathematics,11/24/2009,Really into it,i like his way of teaching surely can get an A even A if u learn from him,0,0
English,12/22/2014,It's my life,Brandie is one of the best professors at BYU  She makes you work for it but you cannot help but be completely engaged in her class and come away totally psyched about what you learned  She is a hard grader with a lot of assignments but if youre not lazy taking her class will be one of the best academic experiences youll ever have,0,0
Economics,07/25/2009,Really into it,Awesome teacher Very easy to understand and made econ not be such a headache Very reasonable as for the amount of homework Provides opportunities to make up points Made my semester load lighter and i still came away with a better knowledge of microeconomics,0,0
Chemistry,12/13/2014,Really into it,Burke knows how to use the concepts behind the material to rigorously challenge and engage students  Expects great things but also strives to bring out your best  Tests are like puzzles requiring massive synthesis of information but fun ,0,0
Science,06/28/2005,It's my life,My test avg was about 78 in the class and with the curve I ended up with a 98 in the class  Go with Hess Enough said,0,0
Mathematics,07/12/2010,It's my life,He goes over homework for the majority of the class but explains things very well Hes very easy to approach with questions and answers them very clearly You do learn mostly from the textbook but he solidifies any confusing parts in class,0,0
Social Work,09/06/2005,It's my life,lectures were somewhat boring at times but she presents a lot of material in an easy to understand way,0,0
Anthropology,11/23/2004,Sorta interested,I thought he was a great teacher  I wasnt really that interested in the class before I took it but I ended up liking it a lot because he made the class fun,0,0
Chemistry,03/16/2005,It's my life,Yes very challenging but your hard work will be rewarded  I got a 50 on the final and got an A in the class,0,0
Religion,12/15/2014,Really into it,I took Dr Woodward during his first semester teaching here at BYU I was impressed by his knowledge and sources on the subject matter I learned many new things and I definitely grew to understand and love Doctrine and Covenants more which I think is the real purpose of this class anyway ,0,0
English,04/24/2014,Low,I would highly recommend this class especially if writing is hard for you Brother Ward paces and grades this class on personal and individual improvement The class is typically small and there is a good balance between lecture and discussion I found every class to be insightful and inspiring,0,0
Physics,08/25/2009,Really into it,I really enjoyed his lectures and he was very helpful after hours,0,0
Marketing,12/07/2014,It's my life,SO fun and interactive He gets people involved and uses real world examples Doesnt teach from a book just teaches you life lessons like how to build wealth and find internships and jobs Book a must have for all open book online untimed quizzes but dont need to read,0,0
Psychology,01/01/2007,Really into it,I really liked Dr Spackman and he was great to work with me  He is a great teacher and makes things easy to understand  He makes it all applicable to life  Wasnt a huge fan of the quizzes but his tests were really easy,0,0
Languages,05/25/2012,Meh,Gave us mere hours to complete assignments by next class she picked fights with students simply asking her to clarify something doubled up assignments to cover the fact that she forgot something unwilling to accommodate students inability to come to office hours Refused to answer a simple question about what a grade counted towards Run away,0,0
Religion,11/07/2008,Really into it,Civ was probably the biggest frustration of my first semester at BYU There was too much reading not enough meat to the lectures he wanders a lot the tests seemed disproportionally easy but hard at the same time and he is difficult to follow The class description for this class Pen and the Sword is nothing like the class at all either,0,0
Economics,04/10/2009,Low,I have never met a more pathetic teacher in my life  His class was a joke  A complete waste of time If i can offer any suggestion dont take him He never owned up to his responsibilities  Class would do bad on a test and he would blame ALL of the students for being lazy then would give the tithing lecture doesnt belong in a class room,0,0
Biology,02/23/2009,It's my life,She was one of the worst teachers I have ever had in my life includes high and middle school  NOT Helpful and doesnt take you seriously so dont go to her TAs were pointless as well so your SOL in Biocore 323  What infuriated me is that lecture material didnt reflect exam questions  AVOID AT ALL COSTS  your GPA will benefit as well,0,0
Business,08/12/2008,Really into it,Hands down the worst teacher Ive had at OSU When asked to see her DO a solution in front of me she responded by telling me to quotlook at the solutions posted onlinequot and refused to actually SHOW me the process Spends nearly 90 percent of the class using circular reasoning to explain the printed notes and rarely does the example problems,0,0
Education,04/07/2010,Meh,Brother Magleby was the worst teacher I have ever had  Those who say that he was an easy and good teacher as long as you did your work obviously shared his views  I had different opinions than him and so he graded me a lot harder than he did those who shared his opinions  If you want a good grade dont think for yourself write for his benefit,0,0
Mathematics,01/14/2011,Really into it,Professor Sell is a brilliant mind who is really bad at sharing it with others  He provides proofs but often makes mistakes  Generous curves make the class not as bad as it seems since everyone is equally lost                    Learn induction  induction63,0,0
Anthropology,12/16/2009,Low,Hated this class Apparently I wasnt the only one bored by the class either Dr Crandall would say everyday quotPlease turn down the lights so everyone can fall asleepquot in his fake accent Dont take this class find a different one,0,0
Mathematics,11/19/2010,Sorta interested,Hes an interesting teacher Interesting in the way that I cannot describe him He does have some unfair grading ie little partial credit on exams and his lecture is hard to follow It is a bunch of words theorems and definitions But overall it isnt too terrible if you have a good TA,0,0
Political Science,02/23/2014,Really into it,His lectures are mandatory to go to and are extremely hard to follow I never had any idea of what I would be tested on because he went on so many tangents He is a nice person but avoid taking DC from him EXTREMELY confusing lectures make for impossible tests,1,0
Business,11/21/2014,Sorta interested,Genuinely a terrible experience Expects you to put waaaaaay too much time into this class for a 3 credit mandatory entry level business course There are talking textbook webinars 1 or 2 per week that last around 2hrs that he expects you to watch that are mostly filler and that is addition to regular lecture and a horrible group project,0,0
Business,06/02/2005,Low,This class sux but she isnt the reason Loads of POINTLESS group work that takes hours to do Lecture is insanely boring but mandatory Recitation lasts about 30 mins instead of an hour and 48 mins Almost all work is done outside of class Not too hard to get an A Hope for a good group,0,0
Science,12/28/2007,Low,Each lecture was interesting I guessbut forgetable for retaining the information The tests are impossible to study for He has a personality which makes him the spectacle not the course material,0,0
Biology,11/11/2012,Sorta interested,Bro Ririe gives you very difficult case study assignments before he teaches the material and he expects the answers to be extremely detailed He never curves tests so beware of that Many assignments somewhat require you to read his mind on what answer he wants I was able to get a good grade in the class but I dont recommend him,0,1
Business,11/01/2005,Sorta interested,terrible Im pretty sure she is devoid of compassion and empathy goes out of her way to make things difficult Do sample problems class is hard,0,0
Cultural Studies,10/27/2010,Sorta interested,Do not take this class Waste of time None of his discussions makes sense and his projects are impossible to do good on On top of that the way he grades is not fair whatsoever It is impossible to do anything right In Robins eyes in this class Doing exactly what is asked and receiving a 25 out of 863 Not alright by me,0,0
Religion,01/07/2007,Really into it,His tests are in a format that is ridiculously hard Its like he is trying to trick you Plus he gets side tracked in class a lot so I think there are things he thinks he has taught but he hasnt,0,0
Chemistry,12/20/2010,Low,Her exams and quizzes were all over the place and the grading rubrics were secret not up for discussion Often her lectures were unclear bulky and way too fast Frequent ppt errors didnt help any either Although very friendly our TA was shy difficult to converse with and slow in explaining things due to a huge language barrier,0,0
Biology,03/26/2014,Low,Cant follow a word he says,0,0
Economics,12/22/2006,It's my life,His test are not bad and he uses Nicholson  He puts crazy proofs on the board and does not explain why,0,0
Psychology,03/22/2012,Really into it,Likes theory too much to teach anything practical Gets testy in class when questions are asked that take up too much time  The one exam we had was set up to make us get low scores with as everyone else is saying questions that are outright misleading  I cant tell you how many times I heard nobody uses this but we use it to teach,0,0
Science,11/21/2014,Meh,He is very hard to understand and doesnt wear a microphone dispite lecturing in a large hall Lots of umms and uhhs and mumbling Seems like a nice guy but he isnt super clear and the tests are tricky to study for since there isnt much guidance,0,1
English,04/29/2014,Meh,WOULD NOT RECOMEND THIS PROFESSOR FOR ANYONE LOOKING TO TAKE A LIT CLASS TO SIMPLY GET IT OVER WITH Incredibly difficult professor who expects a lot even though his lectures dumbs us down He is very snarky and smug I know he will look at these comments and merely ignore them and laugh it off when in reality he should take these seriously,0,0
Mathematics,10/29/2009,Sorta interested,I started attending Dr Tolmans lecture but I and the whole class had a hard time understanding him  illegible handwriting and hard to understand  I do well in math but i didnt get much out of the lecture  at all  I ended up switching to Dr Bakkers section and he is MUCH better  Dr T understands the material but cant teach it well,0,0
Religion,01/04/2015,Sorta interested,If you want to spend your semester focused on memorizing all the little facts dates and section numbers just to forget them right after the semester take it from him If you want to be spiritually touched from reading the DC take it from someone else  He also likes to brag about how he is close with church leadership and byu athletes ,0,0
Engineering,12/07/2004,It's my life,Hope that you have good TAs because she doesnt know the material,0,0
Chemistry,11/08/2012,Sorta interested,Average at best Wouldnt recommend taking it with him He makes mistakes in his lecture notes and if someone doesnt clarify the mistake he continues on with lecture His exams are ridiculous He gives easy practice midterms and very rough midterms Dont take 1220 with him,0,0
Engineering,11/12/2008,It's my life,Helpful but boring makes a hard subject really easy though,0,0
Literature,03/08/2006,It's my life,Prof Sowell is very passionate about Dante  Unfortunately he takes his passion too far and the students are punished for it  He is very set in what he thinks is correct  I would love to take this class again but only when there is another instructor  Like the others have stated if you are not on his good side good luck,0,0
Zoology,09/20/2006,Low,At first shell kind of wierd you out but then you get used to it and appreciate her wierd ways I think it makes class kind of refreshing to have someone so interested in it She presents it in an interesting way as well The material from her class could have made the class the most boring ever But she presented it well and made the best of it,0,0
Communication,02/05/2010,Really into it,This teacher gives only two tests midterm and final which are 80 of your grade and online quizzes worth 20 The exams you should expect no higher than a 70 after studying for 5 days all night at the library His lectures are boring and all he does is show youtube videos that dont help when exams come Thinks hes better because of cornellAvoid,0,0
Computer Science,01/23/2006,Meh,Class had too much structure Treated everyone like they had never seen a computer before or were an expert No middle ground so you were constantly bored or stressed I could not work at my own speed,0,0
Mathematics,10/29/2010,Sorta interested,Lectures are hilarious but he lays out how he wants things on tests  Depend on your TA to understand things but try Waingers examples on your own  Easy class  I recommend taking it with him,0,0
Mathematics,03/10/2013,Low,Has low interest in the students and does not teach Just has students go to the board and struggle through problems on their own,0,0
Mathematics,07/25/2008,Low,Class was always fighting grading was inconsistent we had TAs from our section yup TAs grading our homeworktests from within our class and class consisted of memorizing the text It got so bad that I didnt bother coming to class for a month because of all the bickering  Only missed 1 chapter of 11 in that time  still did well,0,0
Film,11/06/2007,Sorta interested,Grades on attendance makes you pay almost 40 for a packet of photocopied bits from books you could get from the library for free  Lectures are dull at best the films range from the amazing to the mundane  It was a 34 hour night class which got so dull that in the end I signed in during the first half and ditched out on the second,0,0
International Studies,02/03/2009,Sorta interested,Dr Hwang is a very interesting and clearly intelligent person  However he veers off topic constantly uses rediculous metaphors to explain complex ideals and spends much of the class discussing irrelevant topics  Do the readings and go to class but prepare to be frustrated,0,0
Religion,04/05/2005,It's my life,Awful teacher  Tests are unrelated to material taught and he tests on material that you never learn  He never lectures  always guest lectureres who are usually very boring  DONT take this teacher,0,0
English,09/18/2014,Low,He is WAY to opinionated He makes you read a TON and most likely its stuff youve read in high school He chooses one favorite and everyone else pretty much fails His quizzes are hard even if youve done the reading He ruined reading for me do not take his class,0,0
Engineering,03/27/2010,Meh,Steve Bibyk is simply the worst professor at Ohio State He never teaches anything uses powerpoints made by other professors and basically tells you to look at MIT lecture videos in order to learn He gives partial credit randomly tests over material that he never covered in lecture and tells you to memorize the material rather than learn it,0,0
Psychology,11/14/2005,Meh,Worst and most unorganized professor that Ive ever had Dont take from her she talks about her life and then expects you to teach yourself What a waste of money,0,0
Physics & Astronomy,04/15/2014,Low,Worst professor Ive ever had hands down  Avoid like the plague  Cannot lecture does not respond well to students should not be in education,1,0
Political Science,04/09/2014,Really into it,Horrible class Used his students for his own research purposes Gave the most vague instructions for papers and docked off points for no reason Horrible exam formatting and dont even get me started on the reading SO MUCH READING Terrible instructor and would NOT recommend,0,0
Communication,10/27/2008,Meh,He teaching style is uninteresting and really lacks any enthusiasm Its sort of like listening to someone read off a phone book generally He has a great deal of knowledge and gives good examples but its a challenge to stay awake when he is droning on about some random theory,0,0
Mathematics,12/21/2006,Meh,She was the worst teacher i have ever had in my life I got into an accident at the end of the semester and wouldnt give me an extention in the class She doesnt make sense when she teaches and she is always making you feel retarded Expect to have tons and tons and did i mention tons of homework Get out of the class while you can,0,0
Health Science,03/22/2008,Sorta interested,I would not recommend this teacher Her lectures have a ton of information but she goes through the slides so fast that you cannot understand everything She grades super hard on your papers so BEWARE If you take her you better be up for  a challenge because this is a very hard class HEr tests are difficult as well,0,0
Mathematics,03/04/2013,Meh,Class structure is completely out of the ordinary He flips the classroom which is of no help to those of us who have always struggled with math in the past As a science major I have taken many hard courses in my academic career but this was by far the most frustratingtime consuming AVOID THIS PROFESSOR I am now dropping it without refund ,0,0
Computer Science,03/14/2008,Meh,a nightmare in true sense of word knows how to screw up your grades no matter how hard you try one cant follow what he is trying to teach keeps correcting slides and his assignments would have atleast one question where he will ask you to correct a diagramtable in textbook makes subject more difficult to understand PLEASE AVOID if you can,0,0
Physics & Astronomy,03/07/2012,Really into it,Terrible  Throws equations up on the board with no explanation whatsoever  When a student asks a question he is unable to answer the question  There is nothing remotely about biology or premed in this class entitled Introductory Physics for Biology and Premedicine  This guy was all engineering,0,0
Economics,11/29/2007,Low,His teaching style is confusing all over the place has a weird way of thinking but the class is ridiculously easy you dont have to go to lecture all the time to get an A I skipped every other class and sometimes more still got A by just studying the notes the day before the exam Yes he is quirky but in an annoying way,0,0
Church History,12/05/2008,Meh,A completely useless class  But you can give yourself a grade,0,0
History,04/15/2007,Really into it,She is the worst teacher Ive had at BYU  Very rude and unfair  SHE PLAYS FAVORITES  She uses intimidation to direct her students  There is no structure to her grading  Additionally her class was extremely boring  I was very disappointed  DO NOT TAKE HER CLASS  Those who say otherwise must have been her favorites,0,0
Psychology,04/30/2014,Low,Worst course Ive ever taken Tells wrong info in class then sends out multiple emails correcting himself No extra credit Wants to teach us a lesson because theres no extra credit in the real world Unreasonably high expectations I understand no extra credit policies in other classes but his exams have such low averages its necessary,0,0
Science,05/11/2006,Really into it,Probably the worst professor ive ever had im not even kidding His exams are crazy hard The average on exams are not even 50 I got a D in his class and Im not a D student PLEASE do not take 466 with Engles as your professor If someone had warn me that it only gets worst after exam 1 i wouldve dropped,0,0
Physics,10/16/2006,Sorta interested,Pretty much the worst prof ive had  Has a strong accent and when the class average on the first exam was a 51 his response was quotwhy you no study63  why you no understand63quot,0,0
Mathematics,12/08/2014,Sorta interested,Spends every class proofing every single equation we ever use He doesnt tell you what equations are used for or do so you have to figure that out Often starts sentences then goes on a tangent and forgets to come back Doesnt give good in class notes Doesnt do examples Seems very smart but hes just a terrible teacher,1,0
Art,10/20/2006,It's my life,Hes tough  no cake walk As are rare,0,0
Science,02/15/2008,Low,Poorly written tests  Lectures are a waste of time,0,0
Mathematics,04/21/2011,Really into it,Absolutely terrible teacher Im sure hes a brilliant mathematician but skipping his lectures actually was beneficial for me He really likes to use useless proofs and speaks some language that is not English,0,0
Biology,12/20/2005,Really into it,lots of slide lectures,0,0
